batch_idx,batch_time_seconds,num_success,num_failed
0,7.58,50,0
1,6.86,50,0
2,7.51,50,0
3,7.16,50,0
4,7.05,50,0
5,8.00,49,1
6,7.72,50,0
7,7.28,50,0
8,7.56,50,0
9,7.46,50,0
10,7.61,50,0
11,6.93,50,0
12,6.85,50,0
13,6.85,50,0
14,6.66,50,0
15,6.07,50,0
16,6.46,50,0
17,6.22,50,0
18,6.50,50,0
19,6.40,50,0
20,6.96,50,0
21,6.62,50,0
22,6.57,50,0
23,6.05,50,0
24,6.42,50,0
25,6.58,50,0
26,6.03,50,0
27,6.53,50,0
28,6.82,50,0
29,7.12,50,0
30,6.86,50,0
31,6.91,50,0
32,6.96,50,0
33,6.90,50,0
34,6.59,50,0
35,6.26,50,0
36,6.80,50,0
37,7.10,50,0
38,7.39,50,0
39,5.76,50,0
40,7.43,50,0
41,6.48,50,0
42,6.28,50,0
43,6.58,50,0
44,6.86,50,0
45,6.30,50,0
46,6.16,50,0
47,6.21,50,0
48,6.43,50,0
49,7.10,50,0
50,7.72,50,0
51,8.17,50,0
52,7.33,50,0
53,8.60,50,0
54,6.81,50,0
55,7.05,50,0
56,6.62,50,0
57,6.58,50,0
58,6.72,50,0
59,6.41,50,0
60,6.50,50,0
61,6.18,50,0
62,6.78,50,0
63,6.47,50,0
64,6.81,50,0
65,6.37,50,0
66,6.86,50,0
67,6.41,50,0
68,6.27,50,0
69,6.49,50,0
70,6.66,50,0
71,7.85,50,0
72,7.22,50,0
73,7.30,50,0
74,7.73,50,0
75,7.85,50,0
76,7.53,50,0
77,6.82,50,0
78,6.69,50,0
79,7.46,50,0
80,7.41,50,0
81,7.58,50,0
82,6.78,50,0
83,6.68,50,0
84,7.24,50,0
85,7.41,50,0
86,6.50,50,0
87,7.31,50,0
88,6.57,50,0
89,6.57,50,0
90,6.46,50,0
91,6.11,50,0
92,6.97,50,0
93,7.98,50,0
94,7.24,50,0
95,6.80,50,0
96,8.97,50,0
97,7.32,50,0
98,6.57,50,0
99,7.19,50,0
100,7.43,50,0
101,7.44,50,0
102,7.77,50,0
103,6.99,50,0
104,6.87,50,0
105,5.86,50,0
106,5.70,50,0
107,5.35,50,0
108,5.19,50,0
109,7.17,50,0
110,6.98,50,0
111,7.34,50,0
112,6.70,50,0
113,7.12,50,0
114,7.15,50,0
115,7.32,50,0
116,7.11,50,0
117,9.60,50,0
118,9.20,50,0
119,9.56,50,0
120,9.23,50,0
121,9.36,50,0
122,9.44,50,0
123,7.35,48,2
124,8.99,50,0
125,8.71,50,0
126,7.00,50,0
127,11.15,50,0
128,6.71,50,0
129,8.42,50,0
130,7.56,50,0
131,7.62,50,0
132,6.98,50,0
133,6.00,50,0
134,6.79,50,0
135,5.99,50,0
136,6.71,50,0
137,7.96,50,0
138,7.97,50,0
139,8.68,50,0
140,8.43,50,0
141,8.57,50,0
142,8.48,50,0
143,8.92,50,0
144,8.71,50,0
145,7.97,50,0
146,8.33,50,0
147,8.15,50,0
148,6.86,50,0
