group,session,mic,wav_file,filepath,audio_data,sample_rate,length,target
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0001.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0001.wav,[0.         0.         0.         ... 0.0350647  0.03961182 0.05609131],16000,9.3,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0002.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0002.wav,"[ 0.0269165   0.03414917  0.00921631 ...  0.00082397 -0.00097656
 -0.00030518]",16000,7.35,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0003.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0003.wav,"[-0.02120972 -0.04220581 -0.01956177 ... -0.00350952 -0.00042725
 -0.00183105]",16000,5.25,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0004.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0004.wav,"[-0.00094604  0.00198364  0.00485229 ... -0.01248169 -0.00869751
  0.00558472]",16000,4.65,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0005.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0005.wav,"[-0.006073   -0.01174927 -0.00946045 ... -0.00094604  0.0015564
  0.0012207 ]",16000,2.25,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0006.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0006.wav,"[-0.00039673  0.00192261 -0.00231934 ...  0.00039673 -0.00195312
  0.00079346]",16000,2.7,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0007.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0007.wav,"[ 3.75366211e-03  5.79833984e-04  3.26538086e-03 ...  3.05175781e-05
  1.67846680e-03 -2.25830078e-03]",16000,2.55,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0008.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0008.wav,"[ 1.86157227e-03 -3.35693359e-04 -6.10351562e-05 ...  2.86865234e-03
 -7.93457031e-04  2.80761719e-03]",16000,3.3,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0009.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0009.wav,"[-0.00216675 -0.00222778 -0.00405884 ...  0.00213623  0.00137329
 -0.00112915]",16000,3.0,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0010.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0010.wav,"[-0.00097656  0.00292969 -0.0027771  ...  0.00067139  0.00210571
  0.00030518]",16000,3.0,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0011.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0011.wav,"[-0.00582886 -0.00198364  0.00061035 ... -0.00158691 -0.00180054
  0.0055542 ]",16000,4.95,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0012.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0012.wav,"[ 2.16674805e-03  1.00708008e-03  6.40869141e-04 ... -2.10571289e-03
  2.19726562e-03  9.15527344e-05]",16000,3.15,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0013.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0013.wav,"[-0.00091553 -0.00076294  0.00183105 ...  0.00106812 -0.00112915
  0.0039978 ]",16000,3.45,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0014.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0014.wav,"[ 0.00189209 -0.00109863 -0.0010376  ... -0.00079346 -0.00079346
  0.00119019]",16000,3.3,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0015.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0015.wav,"[ 9.46044922e-04  3.05175781e-05  3.05175781e-05 ...  9.15527344e-05
 -1.83105469e-03  1.83105469e-03]",16000,6.0,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0016.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0016.wav,"[-3.69262695e-03  1.55639648e-03  6.10351562e-05 ...  2.41088867e-03
 -2.44140625e-04 -1.40380859e-03]",16000,3.45,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0017.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0017.wav,"[-0.00213623  0.00234985  0.0005188  ...  0.00314331 -0.00085449
 -0.00067139]",16000,3.3,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0018.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0018.wav,"[ 0.00238037 -0.00357056  0.00299072 ...  0.00134277 -0.00262451
  0.00274658]",16000,3.45,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0019.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0019.wav,"[ 0.00125122  0.00112915  0.00137329 ... -0.00418091  0.0007019
  0.00076294]",16000,3.9,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0020.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0020.wav,"[ 0.00292969 -0.00094604 -0.00067139 ...  0.0050354  -0.00091553
  0.00454712]",16000,3.3,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0021.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0021.wav,"[-0.00030518  0.00177002 -0.00061035 ... -0.00384521  0.00250244
 -0.00289917]",16000,3.15,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0022.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0022.wav,"[ 1.40380859e-03 -7.32421875e-04  1.73950195e-03 ... -6.10351562e-05
 -2.13623047e-04 -1.03759766e-03]",16000,3.45,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0023.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0023.wav,"[-0.00064087  0.00180054 -0.00115967 ... -0.00134277  0.00128174
 -0.00177002]",16000,13.65,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0024.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0024.wav,"[ 0.00262451  0.00021362 -0.00140381 ...  0.00100708 -0.00106812
 -0.00265503]",16000,3.45,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0025.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0025.wav,"[-0.00033569 -0.00112915  0.00256348 ... -0.02581787 -0.02044678
 -0.0234375 ]",16000,6.3,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0026.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0026.wav,"[-0.00869751 -0.02084351 -0.01913452 ...  0.00167847 -0.00189209
 -0.00064087]",16000,6.15,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0027.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0027.wav,"[ 0.00167847 -0.00183105  0.00085449 ... -0.01611328 -0.01617432
 -0.00946045]",16000,7.05,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0028.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0028.wav,"[ 0.03353882  0.05099487  0.03158569 ...  0.00088501 -0.00454712
  0.00292969]",16000,3.3,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0029.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0029.wav,"[ 0.00119019 -0.00506592  0.00274658 ... -0.00079346  0.003479
 -0.00112915]",16000,3.6,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0030.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0030.wav,"[-0.00369263 -0.0012207   0.00012207 ...  0.00085449  0.00238037
 -0.00057983]",16000,3.45,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0031.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0031.wav,"[ 0.00140381  0.00231934 -0.00271606 ...  0.00057983 -0.0032959
  0.00311279]",16000,3.6,0
F_Con,FC01S01,arrayMic,wav_arrayMic_FC01S01_0032.wav,TORGO\F_Con\wav_arrayMic_FC01S01\wav_arrayMic_FC01S01_0032.wav,"[ 0.00256348  0.         -0.00140381 ... -0.00219727  0.0010376
 -0.00222778]",16000,3.6,0
